,text,intent,slots,pattern_id
1407,ننشون رو گاییدم,offensive,o o o,3001407
1408,ننشونو بگام,offensive,o o,3001408
1409,ننشونو گائیدم,offensive,o o,3001409
1410,ننشونو گاییدم,offensive,o o,3001410
1411,ننه انی,offensive,o o,3001411
1412,نی قلیون,offensive,o o,3001412
1413,هالو,offensive,o,3001413
1414,هرجایی,offensive,o,3001414
1415,هرزه,offensive,o,3001415
1416,هش,offensive,o,3001416
1417,هشه,offensive,o,3001417
1418,هیز,offensive,o,3001418
1419,وحشی,offensive,o,3001419
1420,وذح,offensive,o,3001420
1421,ور نزن,offensive,o o,3001421
1422,ور نزنید,offensive,o o,3001422
1423,ور نزنین,offensive,o o,3001423
1424,ور ور نکن,offensive,o o o,3001424
1425,ور ور نکنید,offensive,o o o,3001425
1426,ور ور نکنین,offensive,o o o,3001426
1427,وزه,offensive,o,3001427
1428,ولد الزنا,offensive,o o,3001428
1429,ولد چموش,offensive,o o,3001429
1430,ولدالزنا,offensive,o,3001430
1431,ولدزنا,offensive,o,3001431
1432,ولگرد,offensive,o,3001432
1433,ولنگ و باز,offensive,o o o,3001433
1434,ولنگ و واز,offensive,o o o,3001434
1435,یابو,offensive,o,3001435
1436,یابو برت نداره,offensive,o o o,3001436
1437,یابو برتون نداره,offensive,o o o,3001437
1438,یابو برش نداره,offensive,o o o,3001438
1439,یابو برشون نداره,offensive,o o o,3001439
1440,یبس,offensive,o,3001440
1441,یه لا قبا,offensive,o o o,3001441
1442,یه‌لاقبا,offensive,o,3001442
1443,یوبس,offensive,o,3001443
1444,بندازمت پيش عقرب و مار,offensive,o o o o o,3001444
1445,چقدر حروم زاده ای ,offensive,o o o o,3001445
1446,چقدر خودتو داري جر ميدي 😂😂😂,offensive,o o o o o o,3001446
1447,ریدم پس کله ت,offensive,o o o o,3001447
1448,اسکلللل😂,offensive,o,3001448
1449,از سری بعد خلاصه میگی کونی 😂😂😂,offensive,o o o o o o o,3001449
1450,اووووف دگه چه حالی بده,offensive,o o o o o,3001450
1451,اینقدر حرف زدی ریدی تو حالم,offensive,o o o o o o,3001451
1452,داری ماله می‌کشی ,offensive,o o o,3001452
1453,عای شت بیخیال پس😂😂,offensive,o o o o,3001453
1454,خرفت شدی ,offensive,o o,3001454
1456,چه غروب کیری و دلگیری,offensive,o o o o o,3001456
1457,برو احمق,offensive,o o,3001457
1458,میخوای خودتو یه جنده‌ی تنگ معرفی کنی ,offensive,o o o o o o o,3001458
1459,اره جون عمت منم جواب دادم,offensive,o o o o o o,3001459
1460,برو بابا دروغگو,offensive,o o o,3001460
1461,خیلی مزخرفی,offensive,o o,3001461
1462,پس گردني می‌خواهی,offensive,o o o,3001462
1463,خودفروش,offensive,o,3001463
1464,خفه شو بي عرضه مرتيكه نفهم,offensive,o o o o o o,3001464
1465,تو خفه,offensive,o o,3001465
1466,کيـرم تو کـس مادر ادمين,offensive,o o o o o,3001466
1467,افغانی دیگه چی بگم,offensive,o o o o,3001467
1468,منم بچگیم کیری بود -_- کیر توش,offensive,o o o o o o o,3001468
1469,لاس بال ماس بازی میکنن,offensive,o o o o o,3001469
1470,ممه میبینم تو اواتار!!!,offensive,o o o o,3001470
1471,اين دنيا، ننه بابا نداره؟ بچه اش هم مثل خودش بي صاحب ميشه,offensive,o o o o o o o o o o o o o,3001471
1472,بلدی برینی به اين لاشي ها,offensive,o o o o o o,3001472
1474,هيچ غلتي نمي توانی بکنی,offensive,o o o o o,3001474
1475,آخه بیشرف تو مگه کار و زندگی نداری,offensive,o o o o o o o o,3001475
1476,خیلی تخمي هستی,offensive,o o o,3001476
1477,حيف به مقام بياري آخه بيچاره پس کي مملکتو‌ چپاول کنه,offensive,o o o o o o o o o o o,3001477
1478,چه کون سفیدی داری جناب گواردیولا,offensive,o o o o o o,3001478
1480,کصکش حرام زاده,offensive,o o o,3001480
1481,کيرم تو کس مادرت ديوث,offensive,o o o o o,3001481
1482,ساکت پير خرف,offensive,o o o,3001482
1483,کیری ,offensive,o,3001483
1484,بي دست و پا,offensive,o o o o,3001484
1485,عقده اي نباش،اصکل خيکي دويصد کيلويي,offensive,o o o o o o,3001485
1486,فساد و دزدي و سرمايه دار پرستي,offensive,o o o o o o o,3001486
1487,اشغال,offensive,o,3001487
1488,شاید بقیه بخوان یه لیوان عن بگیرن دستشون!توام میگیری؟,offensive,o o o o o o o o o,3001488
1490,توف تو شانست,offensive,o o o,3001490
1492,تمرکزت به فاک رفته,offensive,o o o o,3001492
1494,خیلی باید احمق باشی,offensive,o o o o,3001494
1495,عن خاصی هستی,offensive,o o o,3001495
1496,ریدی به اعصابم,offensive,o o o,3001496
1497,خاک تو سرت,offensive,o o o,3001497
1499,خزعبل,offensive,o,3001499
1500,کونده بازیو شروع کردی,offensive,o o o o,3001500
1501,عن خانم,offensive,o o,3001501
1502,کون خودتو پاره کردی,offensive,o o o o,3001502
1503,کثیف,offensive,o,3001503
1504,ننگ,offensive,o,3001504
1506,میگایی,offensive,o,3001506
1507,تخم حروم,offensive,o o,3001507
1508,دهن نجست,offensive,o o,3001508
1509,تو خوبی,offensive,o o,3001509
1510,عقب مونده,offensive,o o,3001510
1511,کیرم تو ناموست,offensive,o o o,3001511
1513,جنگ خوب نيست و مذاکره بهترين حالت ممکن واسه بقاي شماست,offensive,o o o o o o o o o o o,3001513
1514,فاشیست ابله,offensive,o o,3001514
1515,کیر خر رفته تو کونت,offensive,o o o o o,3001515
1516,کسکش,offensive,o,3001516
1517,چقدر بد بختی,offensive,o o o,3001517
1518,مردونگی نداری,offensive,o o,3001518
1519,وطن فروش,offensive,o o,3001519
1524,ریدم بهت,offensive,o o,3001524
1525,دهن گشاد,offensive,o o,3001525
1527,این همه هارت و پورت کردی,offensive,o o o o o o,3001527
1528,عن نکن خودتو,offensive,o o o,3001528
1531,بی ارزش,offensive,o o,3001531
1533,زشت,offensive,o,3001533
1534,کوسخول خان,offensive,o o,3001534
1535,پفیوز,offensive,o,3001535
1536,کونت میزارم,offensive,o o,3001536
1537,دست و پا چولفتی,offensive,o o o o,3001537
1538,اردک زشت,offensive,o o,3001538
1542,شهوتی,offensive,o,3001542
1543,چهل پدر,offensive,o o,3001543
1544,بمیر بابا,offensive,o o,3001544
1545,هار شدی,offensive,o o,3001545
1546,تو کونت عروسیه,offensive,o o o,3001546
1547,مغز فندوقی,offensive,o o,3001547
1548,بدبخت,offensive,o,3001548
1550,احمق ترینی برای آموزش,offensive,o o o o,3001550
1551,کیرم تو قبرت,offensive,o o o,3001551
1552,ریدم به مغزت,offensive,o o o,3001552
1553,گوسفند بی منطق,offensive,o o o,3001553
1555,حسود,offensive,o,3001555
1556,قدرت طلب فاسد,offensive,o o o,3001556
1557,خایمال,offensive,o,3001557
1558,دیوث,offensive,o,3001558
1559,مفت خور,offensive,o o,3001559
1560,کیرم از پهنا به ناموست,offensive,o o o o o,3001560
1561,کیر تو اسمت,offensive,o o o,3001561
1562,کیرم تو پس کلت,offensive,o o o o,3001562
1563,بیشرف,offensive,o,3001563
1564,اسکول رد دادی,offensive,o o o,3001564
1565,سلطان بی ادبی,offensive,o o o,3001565
1566,چند بهت بدم قیافه انترت رو نبینم,offensive,o o o o o o o,3001566
1567,تف به ذاتت,offensive,o o o,3001567
1568,کیر تو شانست,offensive,o o o,3001568
1569,آخه چرا انقدر شعورت کمه,offensive,o o o o o,3001569
1570,بی ناموس,offensive,o o,3001570
1571,ریدم دهنت کسکش,offensive,o o o,3001571
1572,نادان فرضت کردم,offensive,o o o,3001572
1573,کسکش پدر بی‌ناموس,offensive,o o o,3001573
1574,ای دلقک شیاد,offensive,o o o,3001574
1575,ریدم تو اصل و نسبت,offensive,o o o o o,3001575
1576,اراجیف و دری وری نگو,offensive,o o o o o,3001576
1577,برو مه ناموس,offensive,o o o,3001577
1578,حیون,offensive,o,3001578
1579,تو فکر خایه‌ای,offensive,o o o,3001579
1580,عقل تو من قندهاري گايدم😂,offensive,o o o o o,3001580
1581,اون که به ما نریده بود کلاغ کون دریده بود,offensive,o o o o o o o o o o,3001581
1582,توهم نزن,offensive,o o,3001582
1583,تنبل ,offensive,o,3001583
1584,از آدم کیری انتظار دیگه‌ای نمیره,offensive,o o o o o o,3001584
1585,ننه‌ی تو رو گاییدم,offensive,o o o o,3001585
1586,کسکش خوار کوسده,offensive,o o o,3001586
1587,جنستو عوض نمکنی موتویت عوض کن,offensive,o o o o o o,3001587
1588,آخه خر چه به کتاب,offensive,o o o o o,3001588
1589,ریدم وسط شناسنامت,offensive,o o o,3001589
1590,بايد يقه اين تيمه غربگرا را گرفت وبه مجازات عمله خائنانه خود برسانند نبايد اين تيم هم روزي مثله بني صدر وغيره در رساناهايه ضدانقلاب به ريش مردمه ايران بخندند,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001590
1591,بشکه عن,offensive,o o,3001591
1592,عمريست دين و روحانيت درجهل مردم ميکوشند براي حکومت,offensive,o o o o o o o o o,3001592
1593,آخه دیوث,offensive,o o,3001593
1594,خایمال پسرا نباش,offensive,o o o,3001594
1595,تو گه بخور,offensive,o o o,3001595
1596,اینقدر بد ذات نباش,offensive,o o o o,3001596
1597,ببين رژيم رسما خود زني کرد تا تو رو بزنه مشابه سازي کرد اسم قانون اساسي و اورد ک ما مثلا فکر کتيم ک تو اين مدت داشتي زمينه سازي اين کار و انجام ميدادي ببين چقدر هوشمندانه بازي ميکنه,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001597
1598,کس ننه تو و اون,offensive,o o o o o,3001598
1599,بدبخت نمیدونی چه غلطی بکنی,offensive,o o o o o,3001599
1600,بفاک میریا,offensive,o o,3001600
1601,از رو نمیری,offensive,o o o,3001601
1602,جنده شدیا,offensive,o o,3001602
1603,چقد کیری هستی,offensive,o o o,3001603
1604,اسکلی دیگه چی میشه کرد,offensive,o o o o o,3001604
1605,يعني کيررررم تو کس خوار يک يکتون,offensive,o o o o o o o,3001605
1606,گنده لات بازی درنیار,offensive,o o o o,3001606
1607,گوه میخوری,offensive,o o,3001607
1608,ارزومه که يباربکنمت,offensive,o o o,3001608
1609,سمی,offensive,o,3001609
1611,به درک ریپورت بشی,offensive,o o o o,3001611
1612,جنده پرتغالی,offensive,o o,3001612
1613,قرصاتو نخوردی,offensive,o o,3001613
1614,خاک برسرت با حرف زدنت,offensive,o o o o o,3001614
1615,کودن روانی,offensive,o o,3001615
1616,کونی‌ای,offensive,o,3001616
1617,فاک آف خب,offensive,o o o,3001617
1618,قيافشو عن پف کرده با عينک ته استکاني,offensive,o o o o o o o o,3001618
1619,احمق سوار جدید,offensive,o o o,3001619
1620,احمق خائن,offensive,o o,3001620
1621,آخر اينقدر تو کند ذهني که نمي داني خود وداردسته خدا نشناست تاجگردون از مجلس بيرون کردن .اما خوش به حال تاجگردون که دراين مجلس حداقلي وناتوان نيست,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001621
1623,کون کونک کردی,offensive,o o o,3001623
1624,کون وارونه دادی,offensive,o o o,3001624
1625,تو هیچ غلطی نمی‌تونی بکنی,offensive,o o o o o,3001625
1626,انگشت پات شبیه سمه,offensive,o o o o,3001626
1627,بخاطره دماقت تو برو عمل کن,offensive,o o o o o o,3001627
1628,ازپس که شما کثِيف و حروم زاده و دروغگو هستِيد,offensive,o o o o o o o o o o,3001628
1629,نه خیلی کیرداری بازی میکنی,offensive,o o o o o,3001629
1630,ریدم تو کلاست,offensive,o o o,3001630
1631,الاغ احمق,offensive,o o,3001631
1632,صدای سگ بدی از این دنیا بری,offensive,o o o o o o o,3001632
1633,عوق,offensive,o,3001633
1634,سسکی هستی,offensive,o o,3001634
1635,بگا رفتی,offensive,o o,3001635
1636,خایه مالی نکردی,offensive,o o o,3001636
1637,مشکل کشورما اسلام وحکومت ننگين اسلامي است که اين حرامزاده ازاين چيزها ميخورد....تا ابد لعنت براين اسلام باد....برچنين آيئن بدفرجام باد,offensive,o o o o o o o o o o o o o o o o o o o o o,3001637
1638,خیلی بیخودی هستی,offensive,o o o,3001638
1640,با اون لهجه کیریت,offensive,o o o o,3001640
1641,اوبنه کثیف,offensive,o o,3001641
1642,ناموس فروش,offensive,o o,3001642
1643,بیسواد,offensive,o,3001643
1644,خفه شو کثافت لجن,offensive,o o o o,3001644
1645,ریدی,offensive,o,3001645
1647,کیر تو کونت مرباست,offensive,o o o o,3001647
1648,اي من ريدم سر قبر پدرت که کاندوم نذاشت تا تو مادر قهوه اومدي بزرگترين اشتباه قرن بدنيا اومدن,offensive,o o o o o o o o o o o o o o o o o o o,3001648
1649,ارواح عمت,offensive,o o,3001649
1650,من ریدم تو پدر و مادرت,offensive,o o o o o o,3001650
1651,ای کیر حقیقتا,offensive,o o o,3001651
1652,مادر جنده,offensive,o o,3001652
1653,زنا زاده,offensive,o o,3001653
1654,خوارتو گاییدم,offensive,o o,3001654
1655,کون درو و بریاتو پاره کردی,offensive,o o o o o o,3001655
1656,ایول دندونات کیریه,offensive,o o o,3001656
1657,مادرت سگ حسبنه بي ناموس چه پارسم ميکنه,offensive,o o o o o o o o,3001657
1658,مریض روانی هستی,offensive,o o o,3001658
1659,خو ازونا بهتری عنتر,offensive,o o o o,3001659
1661,یچیزی بارت میکنم,offensive,o o o,3001661
1663,کون لقت,offensive,o o,3001663
1664,یه عنتر تهش کم داره,offensive,o o o o o,3001664
1665,از خوارکسده‌های عالمی,offensive,o o o,3001665
1666,خیلی کون سفیدی,offensive,o o o,3001666
1667,همه کیر شدگان آنلاینن,offensive,o o o o,3001667
1668,نادان,offensive,o,3001668
1669,نباید پایین تنه داشته باشی,offensive,o o o o o,3001669
1670,کونی الاصل,offensive,o o,3001670
1671,خدا ذلیلت کنه,offensive,o o o,3001671
1672,کم کوس بگو دیوث,offensive,o o o o,3001672
1673,بابا اين جاکش از خودت جمهوري اسهالي هست شما ديگه چقدر مغز فندقي هستين که حرف اين باور ميکنيد ان نفوذي رو بلاک کنيد زن هزار کيره رو,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001673
1674,با همین کیر کونت میزارم,offensive,o o o o o,3001674
1675,فاک یو,offensive,o o,3001675
1676,احمق خرفت,offensive,o o,3001676
1677,کون نشور,offensive,o o,3001677
1678,تو گه خوردی,offensive,o o o,3001678
1680,بدبختمون کردی,offensive,o o,3001680
1681,اره خوبه واقعا من یه خری مثل تورو نمیشناسم,offensive,o o o o o o o o o,3001681
1682,زور به کونت اومده,offensive,o o o o,3001682
1683,کون میدی,offensive,o o,3001683
1684,صداتم کیریه,offensive,o o,3001684
1685,بمال نون تو همين,offensive,o o o o,3001685
1686,تف تف و تف,offensive,o o o o,3001686
1687,اره دیگه چار تا مث این اوسکولا طرفدارتن,offensive,o o o o o o o o,3001687
1688,ارواح خیکت,offensive,o o,3001688
1689,کمر همت به گاییدن من بستی,offensive,o o o o o o,3001689
1690,تف به کونت,offensive,o o o,3001690
1691,کیر در توعه یا تو‌ درکیر مساله این است,offensive,o o o o o o o o o,3001691
1692,لعنت بر قبر پدرت,offensive,o o o o,3001692
1693,با مرد فاویسم دار لاس نزن بیشرف,offensive,o o o o o o o,3001693
1695,انقد کصکش نباش قرار بود بخوابیا!,offensive,o o o o o o,3001695
1696,باز قرصاتو یادت رفته,offensive,o o o o,3001696
1697,با يه گل بهار نميشه.آقا بايد گردن.و دست بزنه تا اين مملکت درست شه.,offensive,o o o o o o o o o o o o o o,3001697
1698,عن دهنت,offensive,o o,3001698
1699,ریدم تو دهنت با این طرز صحبت کردنت,offensive,o o o o o o o o,3001699
1700,تو کون ادم دروغگو بای,offensive,o o o o o,3001700
1701,تو کون خودت نباش,offensive,o o o o,3001701
1702,از سنت خجالت بکش,offensive,o o o o,3001702
1703,فازت چیه,offensive,o o,3001703
1704,چوسی,offensive,o,3001704
1705,لعنتی گوزو,offensive,o o,3001705
1706,بی لیاقت,offensive,o o,3001706
1707,آفتاب پرست,offensive,o o,3001707
1708,عنتر نشو ,offensive,o o,3001708
1709,ولی چه مادری ازت گاییده شد,offensive,o o o o o o,3001709
1710,گوه خانم,offensive,o o,3001710
1711,تف به روي خيانتکاران به ملت ايران و ننگ بر کسانيکه خون شهدا جنگ ايران و عراق و دوره انقلاب را نا ديده گرفتند. و به ظلم و ستمگري عليه مردم شريف ايران رو آوردن.,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001711
1712,اسهال نخور,offensive,o o,3001712
1713,ابروی نداشتت رفت,offensive,o o o,3001713
1714,خودتو گاییدی,offensive,o o,3001714
1715,ب کیرم,offensive,o o,3001715
1716,چقدر جنده شدی,offensive,o o o,3001716
1717,برو پی کارت مردک,offensive,o o o o,3001717
1718,اسکول,offensive,o,3001718
1719,خيلي وقت بود نديده بودمت اميرجان در اين بازار پر از تناقضات جمهوري عسلامي، فقط جاي شما خاليست، ادم از نفهمي بيسجي هاي گوسفندي عقده اي ميشه,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001719
1720,به کیرم,offensive,o o,3001720
1722,خر پدر ديگه بسته دروغ,offensive,o o o o o,3001722
1723,چرا مثل دلقکها شدی,offensive,o o o o,3001723
1724,کیرم تو بک گراندت,offensive,o o o o,3001724
1725,دورت بگردم که قیافت اینقدر کیریه,offensive,o o o o o o,3001725
1727,کیرم تو کص مادرت,offensive,o o o o,3001727
1728,حرف زدن هم بلد نيستي,offensive,o o o o o,3001728
1729,کیرم تو کس اول و آخرت,offensive,o o o o o o,3001729
1730,پشمک,offensive,o,3001730
1731,حقیقتا پشمام ,offensive,o o,3001731
1732,ارازل,offensive,o,3001732
1733,با کونت نی میزنی,offensive,o o o o,3001733
1734,خب امشبم قراره اعصابمون بگا بره,offensive,o o o o o o,3001734
1735,کی روتو کم میکنی,offensive,o o o o,3001735
1736,تف به شرف مسئولين .از بالا تا پايين,offensive,o o o o o o o o,3001736
1737,کصدست چو کصدست بیند خوش آید..,offensive,o o o o o o,3001737
1738,حيووون خوک کثيف,offensive,o o o,3001738
1739,هیس. دارم لاس میزنم,offensive,o o o o,3001739
1740,تو چرا جز جز میکنی,offensive,o o o o o,3001740
1741,باوا ساکت باش شير مادرت,offensive,o o o o o,3001741
1742,خاهرتو گاييدم خب کسکش ننه ملتو گاييدي با اين کارت,offensive,o o o o o o o o o o,3001742
1743,اخه این قیافه ای است خودتو درست میکنی هرچی بخودت میزسی مسخره ترمیشی باورکن,offensive,o o o o o o o o o o o o o o,3001743
1744,بدن و دهنت بوی عن میده,offensive,o o o o o o,3001744
1745,بدبخت فلک زده,offensive,o o o,3001745
1746,خفه شو ,offensive,o o,3001746
1747,خفه شدی,offensive,o o,3001747
1748,قرص نخور بگا میری,offensive,o o o o,3001748
1749,همون گيتار تو کص ننت ,offensive,o o o o o,3001749
1750,چقد نديد پديدي، مث خري که بهش تيتاپ دادن,offensive,o o o o o o o o o,3001750
1751,همینه کون همه بزار منم هستم بات,offensive,o o o o o o o,3001751
1752,کیری بودی یا تازگیا کیری شدی,offensive,o o o o o o,3001752
1753,کیرم توت,offensive,o o,3001753
1754,چاقال من نگهبانی ندارم.افسر نگهبان نگاییدم,offensive,o o o o o o,3001754
1755,آره واقعا فاک یو,offensive,o o o o,3001755
1756,الکسيس هم به تونميرسه.,offensive,o o o o,3001756
1757,وات د فاک,offensive,o o o,3001757
1758,حیوان,offensive,o,3001758
1759,کوفت کن,offensive,o o,3001759
1760,قدرمو بدون عوضی,offensive,o o o,3001760
1761,شاخ شدی پا درآوردی,offensive,o o o o,3001761
1762,کونت گهیه,offensive,o o,3001762
1763,وحشتناک ریدم,offensive,o o,3001763
1764,خدا لعنتت کنه,offensive,o o o,3001764
1765,اومدی برای کردن,offensive,o o o,3001765
1766,از همون اول هم هیچ گوهی نبودی پلشت,offensive,o o o o o o o o,3001766
1767,از بس هیچجا نرفتی عقده‌ای شدی,offensive,o o o o o o,3001767
1769,از کست عکس بگیر,offensive,o o o o,3001769
1770,اشغال بیشتر یک روز میرسه روز به روز به گو بند میشی نجسی,offensive,o o o o o o o o o o o o o,3001770
1771,تو خفه شو,offensive,o o o,3001771
1773,باید یه روزی بگا بری,offensive,o o o o o,3001773
1775,کونت پاره شده,offensive,o o o,3001775
1776,اين انقلاب از اولش ضرر کشيديم بخدا بيطرف بوديم ولي بما خوش نيومد بدبختيها کشيديم و طرفدار هيچ جناحي نيستم فقط ميخوام نظرمو بگم تا وقتي مردم به بلوغ اجتماعي و فرهنگي نرسيدند نميدونند چيکار کنند سختيها رشد فکري مياره از سرنوشت ديگران پند بگيريم,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001776
1777,از بس کثیفی،فقط با ارایش خودتو نگه داشتی,offensive,o o o o o o o o,3001777
1778,بچه میترسونی احمق,offensive,o o o,3001778
1779,کير هرچي بهايي و مسلمون مسيحي سني کافره تو لپک کس زنت و دخترت و پدر مادرت,offensive,o o o o o o o o o o o o o o o o o,3001779
1780,قیافتو نیا به خوابم,offensive,o o o o,3001780
1781,ننگ بر تو,offensive,o o o,3001781
1782,جنده خود فروش,offensive,o o o,3001782
1783,تو رو کی گاییدم,offensive,o o o o,3001783
1784,تو کدوم گوری بودی,offensive,o o o o,3001784
1785,برو عن بخور آشغال,offensive,o o o o,3001785
1786,خودت بلای بزرگی,offensive,o o o,3001786
1788,باز عنم گرفت ازت,offensive,o o o o,3001788
1789,خس و خاشاکی,offensive,o o o,3001789
1790,چقدر حقیری,offensive,o o,3001790
1791,دست و پا چلفتی,offensive,o o o o,3001791
1792,آشغال ,offensive,o,3001792
1793,خيلي خيلي خيلي احمق تشريف داري,offensive,o o o o o o,3001793
1794,کون نمونده برات,offensive,o o o,3001794
1795,اگه پیش م بودی لباتو بوس میکردم تا بزنم تو کونت,offensive,o o o o o o o o o o o,3001795
1796,لاس میزنی,offensive,o o,3001796
1797,به تو ربطی نداره,offensive,o o o o,3001797
1798,آبرو نزاشتی,offensive,o o,3001798
1799,از اولش عن بودی,offensive,o o o o,3001799
1801,حیف عن,offensive,o o,3001801
1802,چی میزنی انقدر کسشعر میگی,offensive,o o o o o,3001802
1803,کیرتوت,offensive,o,3001803
1804,حیله گر,offensive,o o,3001804
1805,هم اکنون تا مرز بگا رفتگی پیش رفتم و برگشتم,offensive,o o o o o o o o o o,3001805
1806,پشمام,offensive,o,3001806
1807,دسته بیل تو کون آدم دروغگو,offensive,o o o o o o,3001807
1808,چی میزنی,offensive,o o,3001808
1809,گدا,offensive,o,3001809
1810,نگاییدمت,offensive,o,3001810
1811,اخه مگ ماستو خیارو از بیرون میخرن گمشو خودت درست کن اسکل,offensive,o o o o o o o o o o o o,3001811
1812,چرا چرت و پرت ميگي. خميني رو امريکا و فرانسه و انگليس آوردن به ملت ايران تحميل کردن. چرا تاريخ رو وارونه نشون ميدي. مگه رمزي کلارک فرستاده سازمان جاسوسي امريکا نبود که رفته بود با خميني زد و بند کنه براي عنقلاب. بعدشم اگر يه روز از شر اين نکبت ها رها بشيم قرار نيست مملکت رو به دست شما بسپاريم آقاي فخر آور.,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001812
1813,ریا کار,offensive,o o,3001813
1814,اتش کشیدن این چادر ها کار امریکا و اسرائیل و مجاهدین است ننگ بر ملتی که با کشتن هموطن خودش نون در میاره ننگ بر سرداران جنایتکار ننگ بر سپاهیان بیشرف ننگ بر بسیجیان که بخاطر حفظ خودشون دست به جنایت میزنند,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001814
1815,اینم از کونی بازیته، کوتاه کن خب,offensive,o o o o o o o,3001815
1816,کله‌ام رو کیری کردی الدنگ,offensive,o o o o o,3001816
1817,با اين همه تبليغات و اين همه که صدا و سيما خودش رو جر داد و بسيجي ها سازماندهي شده بودن و نظامي ها هم اومده بودن باز هم ميشه گفت کم رونق بود چون اين تمام توان نظام حاکم براي آوردن جيره خوارانش در کف خيابان بود,offensive,o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o,3001817
1818,بی ناموسی,offensive,o o,3001818
1819,آخه خريت و زر مفت زدن تا به کي,offensive,o o o o o o o o o,3001819
1820,گه نخور جنده,offensive,o o o,3001820
1821,کسکش چقدر قشنگ خالي ميبنده.آدم حيفش مياد باور نکنه,offensive,o o o o o o o o o,3001821
1822,لعنت بر آدم دروغگو,offensive,o o o o,3001822
1823,اراجیف بافتن راحته,offensive,o o o,3001823
1824,خدا حفظت کنه طول عمر بهت بده که داري شادمون ميکني با اين همه کسشعرهاي خنده دارت,offensive,o o o o o o o o o o o o o o o o o,3001824
1825,دلت سیاهه,offensive,o o,3001825
1826,من حیث المجموع پشمام ,offensive,o o o o,3001826
1827,خداروشکر که به چوخ رفتی,offensive,o o o o o,3001827
1828,دارم بهت فاک نشون میدم,offensive,o o o o o,3001828
1829,تو جاکشی,offensive,o o,3001829
1831,سگ تو روحت,offensive,o o o,3001831
1832,فضول,offensive,o,3001832
1833,ایران هست دیگه فقط در دزد پروری فساد پنهان کاری دروغ اراجیف خوب جلو افتاده,offensive,o o o o o o o o o o o o o o o,3001833
1834,کونت بزارم,offensive,o o,3001834
1835,الحق که‌ ماله کشه اعظمی,offensive,o o o o o,3001835
1837,آره وحشی بودنت که طبیعیه..,offensive,o o o o o,3001837
1838,تا جيب کسي رو خالي نکني از کارگري به کارخونه داري نميرسي,offensive,o o o o o o o o o o o o,3001838
1840,حقه باز,offensive,o o,3001840
1841,کوسکش,offensive,o,3001841
1842,توفعلا برو کاسه لیسی,offensive,o o o o,3001842
1843,سگ عربها,offensive,o o,3001843
1844,يا خيلي خري يا از حماقت جفنگ ميگويي,offensive,o o o o o o o o,3001844
1845,هزار و هفتصد و چهل و دو بار به کیرم,offensive,o o o o o o o o o o,3001845
1846,قطعا میکنمت,offensive,o o,3001846
1847,پدر سگ,offensive,o o,3001847
1849,تمام عالم و آدم برینن تو دهنت,offensive,o o o o o o o,3001849
1850,خداااااااا ریدم تو زندگیییییی,offensive,o o o o,3001850
1851,اره مثل کون پارت,offensive,o o o o,3001851
1852,روباه صفت,offensive,o o,3001852
1853,شکم گنده,offensive,o o,3001853
1854,کیر تو دهن خودتو پدر جاکشت ,offensive,o o o o o o,3001854
1855,خر خودتی,offensive,o o,3001855
1856,افغانی جنده,offensive,o o,3001856
1857,تو بی‌ادب‌ترین تاریخی,offensive,o o o,3001857
1858,کوس ننت,offensive,o o,3001858
1859,کیرم تو پشتت,offensive,o o o,3001859
1860,دخترتو گاییدم,offensive,o o,3001860
1861,اره جون اون عمت...يالانچي,offensive,o o o o,3001861
1862,پر از عقده و کمبودی,offensive,o o o o o,3001862
1863,اره ارواح عمت حرومزاده ودزد حکومتِي کثِيف,offensive,o o o o o o o,3001863
1866,پوفیوزی,offensive,o,3001866
1868,چصو,offensive,o,3001868
1869,کصکش,offensive,o,3001869
1870,لیاقتت همینه,offensive,o o,3001870
1871,ای کوسکش,offensive,o o,3001871
1872,كيرتو قبرت با اعراجيفات كسكش,offensive,o o o o o,3001872
1873,حصود,offensive,o,3001873
1874,مغز کیریت,offensive,o o,3001874
1875,بيشرف خوک صفت,offensive,o o o,3001875
1877,از تو سوراخ میکننت جنده خانوم,offensive,o o o o o o,3001877
1878,پشم آخوندی,offensive,o o,3001878
1879,کیر شدی,offensive,o o,3001879
1880,چقدر تابلویی,offensive,o o,3001880
1881,علی به اونجای ننت که ازش دراومدی,offensive,o o o o o o o,3001881
1882,حروم زاده,offensive,o o,3001882
1883,از بس حرص خوردی موهای سرت ریخته,offensive,o o o o o o o,3001883
1885,قورمساق,offensive,o,3001885
